,Date,Close
1645,2022-07-05,3.08
1646,2022-07-06,3.03
1647,2022-07-07,3.38
1648,2022-07-08,3.42
1649,2022-07-09,3.42
1650,2022-07-10,3.42
1651,2022-07-11,3.25
1652,2022-07-12,3.24
1653,2022-07-13,3.27
1654,2022-07-14,3.29
1655,2022-07-15,3.37
1656,2022-07-16,3.37
1657,2022-07-17,3.37
1658,2022-07-18,3.42
1659,2022-07-19,3.59
1660,2022-07-20,3.7
1661,2022-07-21,3.49
1662,2022-07-22,3.23
1663,2022-07-23,3.23
1664,2022-07-24,3.23
1665,2022-07-25,3.56
1666,2022-07-26,3.51
1667,2022-07-27,3.88
1668,2022-07-28,3.98
1669,2022-07-29,4.2
1670,2022-07-30,4.2
1671,2022-07-31,4.2
1672,2022-08-01,4.05
1673,2022-08-02,4.17
1674,2022-08-03,4.18
1675,2022-08-04,4.15
1676,2022-08-05,4.26
1677,2022-08-06,4.26
1678,2022-08-07,4.26
1679,2022-08-08,4.24
1680,2022-08-09,4.12
1681,2022-08-10,4.26
1682,2022-08-11,4.28
1683,2022-08-12,4.32
1684,2022-08-13,4.32
1685,2022-08-14,4.32
1686,2022-08-15,4.13
1687,2022-08-16,3.96
1688,2022-08-17,3.66
1689,2022-08-18,3.74
1690,2022-08-19,3.53
1691,2022-08-20,3.53
1692,2022-08-21,3.53
1693,2022-08-22,3.38
1694,2022-08-23,3.67
1695,2022-08-24,4.26
1696,2022-08-25,4.13
1697,2022-08-26,3.92
1698,2022-08-27,3.92
1699,2022-08-28,3.92
1700,2022-08-29,4.47
1701,2022-08-30,4.52
1702,2022-08-31,4.52
1703,2022-09-01,4.22
1704,2022-09-02,4.14
1705,2022-09-03,4.14
1706,2022-09-04,4.14
1707,2022-09-05,4.14
1708,2022-09-06,4.2
1709,2022-09-07,4.22
1710,2022-09-08,4.37
1711,2022-09-09,4.44
1712,2022-09-10,4.44
1713,2022-09-11,4.44
1714,2022-09-12,4.41
1715,2022-09-13,4.09
1716,2022-09-14,4.13
1717,2022-09-15,3.82
1718,2022-09-16,3.88
1719,2022-09-17,3.88
1720,2022-09-18,3.88
1721,2022-09-19,3.9
1722,2022-09-20,3.72
1723,2022-09-21,3.63
1724,2022-09-22,3.55
1725,2022-09-23,3.28
1726,2022-09-24,3.28
1727,2022-09-25,3.28
1728,2022-09-26,3.22
1729,2022-09-27,3.43
1730,2022-09-28,3.7
1731,2022-09-29,3.57
1732,2022-09-30,3.5
1733,2022-10-01,3.5
1734,2022-10-02,3.5
1735,2022-10-03,3.82
1736,2022-10-04,4.01
1737,2022-10-05,4.06
